Level1,Level2,Level3,german_genre_term,definition
Arts & Culture,Architecture,Architecture,Architektur,
Arts & Culture,Art,Ornament Print,Ornamentstich,
Arts & Culture,Art,Pattern Book,Musterbuch,"Vorlagenbücher für die verschiedensten Kunstgewerbe (Drucktypenmuster, Webmuster u.a.)"
Arts & Culture,Music,Music Book,Musikbuch,"Musiktheoretische Werke, Instrumentenkunde etc."
Arts & Culture,Music,Sheet Music,Musiknoten,
Economy & Commerce,Advertising & Promotion,Advertisement,Anzeige,
Economy & Commerce,Advertising & Promotion,Subscription Advertisement,Subskriptionsanzeige,
Economy & Commerce,Advertising & Promotion,Book Advertisement,Bücheranzeige,
Economy & Commerce,Financial Systems,Monetary Treatise,Geldwesen,
Economy & Commerce,Publishing Trade,Subscriber List,Subskribentenliste,
Economy & Commerce,Trade & Markets,Antiquarian Catalog,Antiquariatskatalog,
Economy & Commerce,Trade & Markets,Auction Catalog,Auktionskatalog,
Economy & Commerce,Trade & Markets,Bookseller Catalog,Buchhandelskatalog,
Economy & Commerce,Trade & Markets,Trade Fair Catalog,Meßkatalog,
Economy & Commerce,Trade & Markets,Trade Fair Report,Meßrelation,
Economy & Commerce,Trade & Markets,Sale Catalog,Verkaufskatalog,
Education & Academic Publications,Pedagogy,Pedagogy,Pädagogik,
Education & Academic Publications,School Education,Schoolbook,Schulbuch,
Education & Academic Publications,School Education,School Program,Schulprogramm,
Education & Academic Publications,School Education,Primer,Fibel,
Education & Academic Publications,School Education,Youth Non-fiction,Jugendsachbuch,
Education & Academic Publications,School Education,Reader,Lesebuch,
Education & Academic Publications,School Education,Arithmetic Book,Rechenbuch,
Education & Academic Publications,University Publications,University Publication,Hochschulschrift,
Education & Academic Publications,University Publications,Matriculation Register,Matrikel,
Education & Academic Publications,University Publications,University Program,Universitätsprogramm,
Education & Academic Publications,University Publications,Lecture,Vorlesung,
Education & Academic Publications,University Publications,University Calendar,Vorlesungsverzeichnis,
Education & Academic Publications,University Publications,Dissertation,Dissertation,
Education & Academic Publications,University Publications,Dissertation,Dissertation:jur.,
Education & Academic Publications,University Publications,Dissertation,Dissertation:med.,
Education & Academic Publications,University Publications,Dissertation,Dissertation:phil.,
Education & Academic Publications,University Publications,Dissertation,Dissertation:theol,
Education & Academic Publications,University Publications,Dissertation,Dissertation:theol.,
Education & Academic Publications,University Publications,Dissertation Collection,Dissertationensammlung,
Geography & Travel,Cartography,Atlas,Atlas,
Geography & Travel,Cartography,Map,Karte,
Geography & Travel,Descriptive Geography,Gazetteer,Ortsverzeichnis,
Geography & Travel,Descriptive Geography,Topography,Topographie,
Geography & Travel,Descriptive Geography,Geography,Geographie,
Geography & Travel,Travel,Travel Guide,Reiseführer,
Geography & Travel,Travel,Travel Narrative,Reisebericht,
History & Biography,Documentary / Reference,Genealogy,Genealogie,
History & Biography,Documentary / Reference,Heraldry,Wappenbuch,
History & Biography,Historical Narrative,Chronicle,Chronik,
History & Biography,Historical Narrative,Classical Studies,Altertumskunde,
History & Biography,Historical Narrative,Festival Description,Festbeschreibung,Anleitungen und Dokumente zu höfischen Festen
History & Biography,Documentary / Reference,Historical Commentary,Kommentar: hist.,
History & Biography,Historical Narrative,Archaeology,Archäologie,
History & Biography,Life Writing,Biography,Biographie,
History & Biography,Life Writing,Illustrated Biography,Porträtwerk,Zu verwenden für biographische Werke mit hohem Anteil an Porträtabbildungen der biographierten Personen
History & Biography,Life Writing,Autobiography,Autobiographie,Literarische Darstellung des eigenen Lebens
History & Biography,Life Writing,Biography,Biografie,
History & Biography,Life Writing,First-person Account,Erlebnisbericht,
History & Biography,Life Writing,Diary,Tagebuch,
Language & Rhetoric,Language Description,Grammar,Grammatik,
Language & Rhetoric,Reference Works,Dictionary,Wörterbuch,
Language & Rhetoric,Reference Works,Lexicon,Lexikon,Nachschlagewerk zu einem Fachgebiet
