start_year,end_year,war_name,killed
1400,1415,Glyndŵr Rising,
1401,1429,Appenzell Wars,
1407,1468,Georgian-Turkoman War,
1409,1411,Polish–Lithuanian–Teutonic War,
1410,1435,War of Slesvig,
1414,1414,Hunger War,
1419,1434,Hussite Wars,
1422,1422,Gollub War,
1422,1422,Battle of Arbedo,
1424,1424,Aragonese expedition to Tunisia,
1425,1454,Wars in Lombardy,
1431,1435,Polish–Teutonic War,
1432,1432,Aragonese expedition to Tunisia,
1434,1436,Engelbrekt rebellion,
1435,1442,Aragonese conquest of Naples,
1437,1437,Budai Nagy Antal revolt,
1438,1556,Russo-Kazan Wars,
1440,1446,Old Zürich War,
1441,1441,Battle of Samobor,
1443,1444,Long campaign,
1444,1444,Battle of Varna,
1445,1445,First Battle of Olmedo,
1447,1448,Albanian–Venetian War,
1449,1450,First Margrave War,
1449,1449,Battle of Castione,
1449,1453,Revolt of Ghent,
1450,1450,Jack Cade's Rebellion,
1451,1455,Navarrese Civil War,
1453,1453,Fall of Constantinople,
1453,1454,Morea revolt,
1454,1466,Thirteen Years' War,
1455,1485,Wars of the Roses,
1462,1462,Night attack at Târgoviște,
1462,1485,Rebellion of the Remences,
1462,1472,Catalan Civil War,
1463,1479,Venetian-Ottoman War,
1465,1465,Battle of Montlhéry,
1465,1468,Wars of Liège,
1466,1469,Irmandiño Wars,
1467,1467,Second Battle of Olmedo,
1467,1467,Hungarian - Moldavian war,
1467,1479,War of the Priests,
1468,1468,Waldshut War,
1468,1478,Bohemian War,
1470,1471,Dano-Swedish War,
1470,1474,Anglo-Hanseatic War,
1474,1477,Burgundian Wars,
1475,1475,Battle of Vaslui,
1475,1479,War of the Castilian Succession,
1476,1476,Battle of Valea Alba,
1477,1488,Austrian–Hungarian War (1477–88),
1478,1478,Carinthian Peasant Revolt,
1478,1478,Battle of Giornico,
1479,1479,Battle of Guinegate,
1482,1484,War of Ferrara,
1484,1484,Battle of Lochmaben Fair,
1485,1488,Mad War,
1487,1487,Battle of Crevola,
1487,1487,War of Rovereto,
1488,1488,Battle of Sauchieburn,
1490,1491,War of the Hungarian Succession,
1492,1583,Muscovite–Lithuanian Wars,
1493,1493,Battle of Krbava Field,
1493,1593,Hundred Years' Croatian–Ottoman War,
1494,1498,Italian War of 1494–98,
1495,1497,Russo-Swedish War,
1497,1497,Cornish Rebellion of 1497,
1497,1497,Battle of Rotebro,
1499,1499,Swabian War,
1499,1504,Italian War of 1499–1504,20000
1500,1854,Lekianoba,
1501,1512,Dano-Swedish War (1501–1512),
1502,1543,Guelders Wars,
1503,1505,War of the Succession of Landshut,
1508,1516,War of the League of Cambrai,31000
1509,1510,Polish–Moldavian War,
1514,1514,Poor Conrad's Rebellion,
1514,1514,Dózsa rebellion,
1514,1517,Saxon feud,
1515,1515,Slovene Peasant Revolt,
1515,1523,Frisian peasant rebellion,
1519,1521,Polish–Teutonic War,
1520,1521,Revolt of the Comuneros,
1521,1523,Revolt of the Brotherhoods,
1521,1523,Swedish War of Liberation,
1521,1526,Italian War of 1521–1526,30000
1521,1526,Hungarian-Ottoman War,
1526,1526,Battle of Mohács,
1522,1523,Knights' War,
1524,1525,German Peasants' War,
1526,1527,Jovan Nenad uprising,
1526,1526,Revolt of Espadán,
1526,1530,War of the League of Cognac,18000
1526,1528,Hungarian Civil War,
1526,1527,Jovan Nenad uprising,
1529,1529,First War of Kappel,
1529,1533,Habsburg–Ottoman war,
1531,1531,Second War of Kappel,
1531,1532,War of Two Kings,
1534,1534,Silken Thomas Rebellion,
1534,1535,Münster Rebellion,
1534,1536,Count's Feud,
1536,1537,Reformation in Norway,
1536,1537,Pilgrimage of Grace,
1540,1540,Salt War,
1542,1546,Italian War of 1542–1546,47000
1542,1543,Dacke War,
1540,1547,Habsburg–Ottoman war,
1543,1550,Rough Wooing,
1546,1547,Schmalkaldic War,
1549,1549,Kett's Rebellion,
1549,1549,Prayer Book Rebellion,
1550,1550,Battle of Sauðafell,
1550,1558,Habsburg–Ottoman war,
1551,1559,Italian War of 1551–1559,75000
1552,1555,Second Margrave War,
1554,1554,Wyatt's rebellion,
1554,1557,Russo-Swedish War,
1556,1567,Hungarian war of succession,
1558,1583,Livonian War,
1559,1564,Spanish-Ottoman War,24000
1560,1560,Siege of Leith,
1562,1562,First Székely uprising,
1562,1598,French Wars of Religion,
1563,1570,Northern Seven Years' War,
1565,1565,Great Siege of Malta,
1565,1568,Habsburg–Ottoman war,
1568,1570,Morisco Revolt,
1568,1648,Eighty Years' War,
1569,1580,Spanish-Ottoman War,48000
1569,1570,Rising of the North,
1569,1573,First Desmond Rebellion,
1573,1573,Croatian–Slovene Peasant Revolt,
1575,1575,Second Székely uprising,
1578,1578,Georgian-Ottoman War,
1579,1583,Second Desmond Rebellion,
1580,1583,War of the Portuguese Succession,
1583,1588,Cologne War,
1585,1604,English-Spanish War,48000
1588,1654,Dutch–Portuguese War,
1587,1588,War of the Polish Succession,
1590,1595,Russo-Swedish War,
1593,1593,Battle of Sisak,
1593,1606,Long Turkish War,
1593,1617,Moldavian Magnate Wars,
1594,1603,Nine Years' War (Ireland),
1595,1621,Moldavian Magnate Wars,
1595,1595,Battle of Călugăreni,
1596,1596,Third Székely uprising,
1596,1597,Cudgel War,
1598,1598,First Tarnovo uprising,
1598,1599,War against Sigismund,
1599,1599,Battle of Șelimbăr,
1600,1629,Polish–Swedish War,
1601,1601,Battle of Guruslău,
1602,1602,Savoyard escalade of Geneva,
1604,1606,Bocskai Uprising,
1605,1618,Polish–Muscovite War,
1606,1607,Bolotnikov Rebellion,
1606,1608,Zebrzydowski Rebellion,
1610,1614,Spanish-Ottoman War,15000
1610,1617,Ingrian War,
1611,1613,Kalmar War,
1615,1618,Uskok War,
1615,1617,Spanish-Savoian War,2000
1617,1621,Spanish-Venetian War,5000
1618,1619,Spanish-Ottoman War,6000
1618,1648,Thirty Years' War,
1624,1625,"Siege of Breda – Spain vs. Holland, England",
1635,1635,"Siege of Leuven – Spain vs. Holland, France",
1637,1637,Battle off Lizard Point – Spain vs. Holland,
1638,1638,Battle of Getaria – France vs. Spain,
1639,1639,Battle of the Downs – Spain vs. Holland,
1643,1643,Battle of Rocroi – France vs. Spain,
1648,1648,Battle of Lens – France vs. Spain,
1618,1639,Bündner Wirren,
1620,1621,Polish–Ottoman War,
1625,1625,Zhmaylo Uprising,
1627,1629,Anglo-French War,
1628,1631,War of the Mantuan Succession,
1630,1630,Fedorovych Uprising,
1632,1634,Smolensk War,
1637,1637,Pavlyuk Uprising,
1638,1638,Ostryanyn Uprising,
1639,1653,Wars of the Three Kingdoms,
1639,1640,Bishops' Wars,
1641,1653,Irish Confederate Wars,
1642,1651,English Civil War,
1642,1646,First English Civil War,
1648,1649,Second English Civil War,
1649,1651,Third English Civil War,
1649,1653,Cromwellian conquest of Ireland,
1640,1668,Spanish-Portuguese War,80000
1648,1659,Franco-Spanish War,108000
1648,1657,Khmelnytsky Uprising,
1651,1651,Kostka-Napierski Uprising,
1651,1986,Three Hundred and Thirty Five Years' War,
1652,1674,Anglo-Dutch Wars,
1653,1653,Swiss peasant war of 1653,
1654,1654,First Bremian War,
1654,1667,Russo-Polish War,
1654,1660,English-Spanish War,15000
1655,1660,Second Northern War,
1656,1656,War of Villmergen,
1657,1657,Transylvanian campaign into Poland,
1657,1662,Ottoman–Transylvanian war,
1663,1664,Austro-Turkish War,
1666,1666,Second Bremian War,
1666,1671,Polish–Cossack–Tatar War,
1667,1668,War of Devolution,4000
1670,1671,Razin's Rebellion,
1672,1672,First Kuruc Uprising,
,,,
1672,1678,Franco-Dutch War,342000
1672,1673,Second Genoese–Savoyard War,
1675,1679,Scanian War,
1676,1681,Russo-Ottoman War,
1678,1685,Thököly Uprising,
1679,1679,Covenanter Rebellion,
1683,1684,War of the Reunions,5000
1683,1699,War of the Holy League,384000
1685,1685,Monmouth Rebellion,
1686,1686,Second Tarnovo uprising,
1688,1688,Chiprovtsi uprising,
1688,1697,Nine Years' War,680000
1688,1688,Glorious Revolution,
1689,1689,Karposh's rebellion,
1689,1692,First Jacobite Rising,
1700,1700,Lithuanian Civil War,
1700,1721,"Great Northern War – 30,000 Russians killed in action[2]",
1701,1714,War of the Spanish Succession,1251000
,,,
1703,1711,Rákóczi's War of Independence,
1707,1708,Bulavin Rebellion,
,,,
1712,1712,Toggenburg War,
1714,1718,Ottoman–Venetian wars,
1715,1716,Jacobite rising of 1715,
1716,1718,Austro-Turkish War,
1718,1720,War of the Quadruple Alliance,25000
1722,1723,Russo-Persian War,
1727,1729,Anglo-Spanish War,15000
1733,1738,War of the Polish Succession,88000
1735,1739,Russo-Turkish War,
1740,1748,War of the Austrian Succession,359000
1740,1763,Silesian Wars,
1741,1743,Russo-Swedish War,
1745,1746,Jacobite rising of 1745,
1756,1763,Seven Years' War,992000
1757,1757,Battle of Khresili,
1763,1864,Russo-Circassian War,
1768,1772,War of the Bar Confederation,
1768,1774,Russo-Ottoman War,
1770,1770,Battle of Aspindza,
1770,1770,Orlov Revolt,
1774,1775,Pugachev's Rebellion,
1775,1783,American Revolutionary War,
