decade,Harri (Double-Counted),Deduplicated,Inflation Count,% Inflation
1500,1418,755,663,87.81
1510,3094,1675,1419,84.72
1520,10987,5921,5066,85.56
1530,6459,3459,3000,86.73
1540,6942,3976,2966,74.6
1550,8077,4819,3258,67.61
1560,11573,6705,4868,72.6
1570,11460,7018,4442,63.29
1580,17737,10632,7105,66.83
1590,26568,15814,10754,68.0
1600,40930,27654,13276,48.01
1610,53723,37269,16454,44.15
1620,49607,35258,14349,40.7
1630,43223,29139,14084,48.33
1640,38584,27833,10751,38.63
1650,57884,40640,17244,42.43
1660,67261,47763,19498,40.82
1670,72228,51293,20935,40.81
1680,68015,48683,19332,39.71
1690,68968,49370,19598,39.7
1700,84273,67442,16831,24.96
1710,85832,70055,15777,22.52
1720,79647,66496,13151,19.78
1730,87564,70678,16886,23.89
1740,78227,64345,13882,21.57
1750,83663,67712,15951,23.56
1760,71870,58261,13609,23.36
1770,75984,61771,14213,23.01
1780,85490,69321,16169,23.32
1790,95371,76153,19218,25.24
1800,11360,9375,1985,21.17
