value,count_vd16,count_vd17,count_vd18
 ,4,18,0
!00657212X!Predigt,0,1,0
!006572324!Ordensliteratur:Jesuiten,0,1,0
!006572677!Kommentar: jur.,0,1,0
!006572804!Gesetzessammlung,0,1,0
!006573150!Flugschrift,0,1,0
!006573231!Einblattdruck,0,1,0
!006573282!Dissertation:phil.,0,1,0
!006573290!Dissertation:theol,0,1,0
!006573290!Dissertation:theol.,0,34,0
!006573312!Chronik,0,1,0
!006573592!Amtsdruckschrift,0,2,0
1727-06-26,0,0,2
: Lyrik,0,0,1
Adressbuch,0,0,59
Adreßbuch,0,0,3
Agende,89,24,246
Akademieschrift,0,2,468
Akustik,0,10,9
Alchemie,389,1393,1113
Almanach,27,0,151
Alterkumskunde,0,0,6
Alterstumskunde,0,0,1
Altertum,0,0,6
Altertumkunde,0,0,2
Altertumskunde,378,2189,3510
Altertumswissenschaft,0,0,1
Alterumskunde,0,0,8
Amtliche Publikation,0,0,1
Amtsdruckschrift,829,6308,27634
Amtsdruckschrift: Mandat,0,0,1
Amtsdruckschrift:Edikt,0,0,2
Amtsdruckschrift:Verordnung,0,0,31
Amtsdruckschrift:Vertrag,0,0,2
Anatomie,41,392,715
Anekdote,1,11,281
Anleitung,70,17,1507
Anstandliteratur,0,0,4
Anstandsliteratur,31,87,515
Anstandsregeln,0,0,2
Antertumskunde,0,0,2
Anthologie,152,605,1241
Antiquariatskatalog,0,1,31
Antomie,0,0,2
Anzeige,0,5,203
Aphorismus,5,12,138
Apologetik,0,0,2
Architektur,24,312,1020
Archäologie,8,81,286
Ars moriendi,128,385,326
Arzneibericht,0,0,1
Arzneibuch,271,1004,1171
Arzneikunde,0,0,1
Arzneybuch,0,0,2
Astonomie,0,0,3
Astrologie,381,735,124
Astromonie,0,0,2
Astronomie,367,1520,1297
Atlas,7,109,46
Aufklärung,0,0,1
Auktionkatalog,0,0,2
Auktionskatalog,0,58,3149
Autobiographie,1,57,445
Ballade,0,0,35
Bau,0,0,2
Beichtspiegel,7,40,18
Beitrag,0,0,2
Bergbau,63,416,545
Bergwerk,0,0,5
Bericht,52,4,482
Bericht: jur.,0,0,2
Bibel,805,1274,3287
Bibliografie,0,0,2
