year,city,confession,language,count
1500,Augsburg,Mixed,lat,1
1500,Cologne,Catholic,lat,1
1500,Nuremberg,Protestant,lat,1
1500,Strasbourg,Mixed,ger,3
1500,Strasbourg,Mixed,lat,2
1501,Augsburg,Mixed,ger,6
1501,Augsburg,Mixed,lat,14
1501,Augsburg,Mixed,unknown,1
1501,Basel,Protestant,lat,13
1501,Basel,Protestant,unknown,1
1501,Cologne,Catholic,lat,29
1501,Erfurt,Mixed,ger,3
1501,Erfurt,Mixed,lat,19
1501,Erfurt,Mixed,unknown,1
1501,Heidelberg,Protestant,ger,2
1501,Heidelberg,Protestant,lat,2
1501,Leipzig,Protestant,ger,3
1501,Leipzig,Protestant,lat,58
1501,Leipzig,Protestant,unknown,1
1501,Magdeburg,Protestant,lat,2
1501,Magdeburg,Protestant,nds,3
1501,Munich,Catholic,ger,3
1501,Nuremberg,Protestant,ger,1
1501,Nuremberg,Protestant,lat,18
1501,Strasbourg,Mixed,ger,8
1501,Strasbourg,Mixed,lat,18
1501,Strasbourg,Mixed,unknown,1
1501,Tübingen,Protestant,lat,4
1501,Vienna,Catholic,lat,2
1502,Augsburg,Mixed,ger,8
1502,Augsburg,Mixed,lat,14
1502,Augsburg,Mixed,unknown,1
1502,Basel,Protestant,ger,5
1502,Basel,Protestant,lat,10
1502,Cologne,Catholic,ger,1
1502,Cologne,Catholic,lat,20
1502,Erfurt,Mixed,grc,3
1502,Erfurt,Mixed,heb,1
1502,Erfurt,Mixed,lat,15
1502,Erfurt,Mixed,unknown,3
1502,Frankfurt (Oder),Protestant,lat,1
1502,Hamburg,Protestant,ger,1
1502,Hamburg,Protestant,nds,1
1502,Leipzig,Protestant,ger,1
1502,Leipzig,Protestant,lat,57
1502,Leipzig,Protestant,unknown,2
1502,Lübeck,Protestant,gem,1
1502,Nuremberg,Protestant,ger,2
1502,Nuremberg,Protestant,lat,16
1502,Nuremberg,Protestant,unknown,2
1502,Strasbourg,Mixed,ger,12
1502,Strasbourg,Mixed,lat,26
1502,Strasbourg,Mixed,unknown,1
1502,Tübingen,Protestant,lat,1
1502,Vienna,Catholic,ger,3
1502,Vienna,Catholic,lat,2
1502,Wittenberg,Protestant,lat,2
1503,Augsburg,Mixed,ger,4
1503,Augsburg,Mixed,lat,11
1503,Basel,Protestant,ger,5
1503,Basel,Protestant,lat,14
1503,Breslau,Protestant,lat,2
1503,Cologne,Catholic,ger,1
1503,Cologne,Catholic,lat,38
1503,Cologne,Catholic,nds,1
1503,Erfurt,Mixed,ger,2
1503,Erfurt,Mixed,lat,4
1503,Erfurt,Mixed,unknown,1
1503,Leipzig,Protestant,ger,5
1503,Leipzig,Protestant,lat,63
1503,Leipzig,Protestant,nds,1
1503,Leipzig,Protestant,unknown,1
1503,Lübeck,Protestant,nds,1
1503,Mainz,Catholic,ger,1
1503,Mainz,Catholic,lat,5
1503,Munich,Catholic,ger,2
1503,Nuremberg,Protestant,ger,4
1503,Nuremberg,Protestant,lat,6
1503,Strasbourg,Mixed,ger,5
1503,Strasbourg,Mixed,lat,24
1503,Vienna,Catholic,lat,1
1503,Wittenberg,Protestant,lat,12
1503,Wittenberg,Protestant,unknown,1
1504,Augsburg,Mixed,ger,2
1504,Augsburg,Mixed,lat,14
1504,Augsburg,Mixed,unknown,1
1504,Basel,Protestant,lat,17
1504,Breslau,Protestant,ger,2
1504,Cologne,Catholic,ger,2
1504,Cologne,Catholic,lat,30
1504,Cologne,Catholic,unknown,1
1504,Erfurt,Mixed,ger,2
1504,Erfurt,Mixed,lat,5
1504,Erfurt,Mixed,unknown,1
1504,Frankfurt (Oder),Protestant,lat,2
1504,Leipzig,Protestant,ger,1
1504,Leipzig,Protestant,lat,84
1504,Leipzig,Protestant,unknown,2
1504,Magdeburg,Protestant,lat,2
1504,Munich,Catholic,ger,1
1504,Munich,Catholic,lat,1
1504,Nuremberg,Protestant,ger,1
1504,Nuremberg,Protestant,lat,4
1504,Nuremberg,Protestant,unknown,2
1504,Strasbourg,Mixed,ger,7
1504,Strasbourg,Mixed,heb,1
1504,Strasbourg,Mixed,lat,22
1504,Strasbourg,Mixed,unknown,3
1504,Vienna,Catholic,ger,1
1504,Vienna,Catholic,lat,1
1504,Wittenberg,Protestant,lat,6
1505,Augsburg,Mixed,ger,1
1505,Augsburg,Mixed,lat,13
1505,Basel,Protestant,ger,1
1505,Basel,Protestant,lat,12
1505,Braunschweig,Protestant,ger,2
1505,Cologne,Catholic,ger,2
1505,Cologne,Catholic,lat,78
1505,Cologne,Catholic,nds,1
1505,Cologne,Catholic,unknown,2
1505,Erfurt,Mixed,ger,2
1505,Erfurt,Mixed,lat,9
1505,Leipzig,Protestant,ger,4
1505,Leipzig,Protestant,lat,79
1505,Leipzig,Protestant,unknown,1
1505,Mainz,Catholic,ger,2
1505,Nuremberg,Protestant,ger,2
1505,Nuremberg,Protestant,lat,4
1505,Rostock,Protestant,lat,4
1505,Strasbourg,Mixed,ger,7
1505,Strasbourg,Mixed,lat,43
1505,Strasbourg,Mixed,unknown,2
1505,Vienna,Catholic,lat,3
1505,Wittenberg,Protestant,lat,15
1506,Augsburg,Mixed,lat,10
1506,Basel,Protestant,lat,31
1506,Basel,Protestant,unknown,2
1506,Braunschweig,Protestant,ger,1
1506,Braunschweig,Protestant,nds,2
1506,Cologne,Catholic,ger,1
1506,Cologne,Catholic,lat,56
1506,Cologne,Catholic,nds,1
1506,Cologne,Catholic,unknown,2
1506,Erfurt,Mixed,lat,11
1506,Erfurt,Mixed,unknown,1
1506,Frankfurt (Oder),Protestant,lat,5
1506,Leipzig,Protestant,ger,5
1506,Leipzig,Protestant,lat,33
1506,Leipzig,Protestant,unknown,2
1506,Lübeck,Protestant,ger,1
1506,Lübeck,Protestant,unknown,1
1506,Magdeburg,Protestant,ger,1
1506,Magdeburg,Protestant,lat,3
1506,Magdeburg,Protestant,unknown,1
1506,Mainz,Catholic,lat,1
1506,Nuremberg,Protestant,ger,6
1506,Nuremberg,Protestant,lat,4
1506,Nuremberg,Protestant,unknown,1
1506,Rostock,Protestant,lat,5
1506,Rostock,Protestant,unknown,1
1506,Strasbourg,Mixed,ger,9
1506,Strasbourg,Mixed,lat,34
1507,Augsburg,Mixed,ger,8
1507,Augsburg,Mixed,lat,16
1507,Basel,Protestant,ger,3
1507,Basel,Protestant,lat,11
1507,Basel,Protestant,unknown,1
1507,Braunschweig,Protestant,ger,1
1507,Braunschweig,Protestant,nds,2
1507,Cologne,Catholic,lat,37
1507,Cologne,Catholic,unknown,1
1507,Erfurt,Mixed,lat,13
1507,Frankfurt (Oder),Protestant,lat,10
1507,Frankfurt (Oder),Protestant,unknown,1
1507,Leipzig,Protestant,ger,3
1507,Leipzig,Protestant,lat,68
1507,Leipzig,Protestant,unknown,2
1507,Lübeck,Protestant,ger,1
1507,Lübeck,Protestant,nds,4
1507,Magdeburg,Protestant,lat,5
1507,Mainz,Catholic,lat,2
1507,Munich,Catholic,ger,4
1507,Nuremberg,Protestant,ger,3
1507,Nuremberg,Protestant,lat,14
1507,Rostock,Protestant,ger,1
1507,Rostock,Protestant,nds,4
1507,Strasbourg,Mixed,ger,13
1507,Strasbourg,Mixed,lat,26
1508,Augsburg,Mixed,ger,17
1508,Augsburg,Mixed,lat,11
1508,Augsburg,Mixed,unknown,2
1508,Basel,Protestant,ger,1
1508,Basel,Protestant,lat,10
1508,Braunschweig,Protestant,nds,1
1508,Cologne,Catholic,ger,1
1508,Cologne,Catholic,lat,51
1508,Cologne,Catholic,unknown,2
1508,Erfurt,Mixed,lat,4
1508,Frankfurt (Oder),Protestant,ger,3
1508,Frankfurt (Oder),Protestant,lat,26
1508,Leipzig,Protestant,ger,5
1508,Leipzig,Protestant,lat,43
1508,Leipzig,Protestant,unknown,1
1508,Mainz,Catholic,ger,6
1508,Mainz,Catholic,lat,5
1508,Nuremberg,Protestant,ger,8
1508,Nuremberg,Protestant,lat,6
1508,Nuremberg,Protestant,nds,2
1508,Nuremberg,Protestant,unknown,1
1508,Rostock,Protestant,lat,2
1508,Strasbourg,Mixed,ger,18
1508,Strasbourg,Mixed,lat,47
1508,Strasbourg,Mixed,und,1
1508,Strasbourg,Mixed,unknown,3
