year_of_publication,country_of_publication,primary_language_code,count
1504,,,2
1506,,,2
1535,XA-IT,lat,7
1535,,,3
1535,ZZ,lat,2
1535,XA-DE,lat,2
1541,XA-ES,spa,6
1541,XA-FR,lat,4
1541,,,2
1555,XA-IT,ita,2
1577,be,lat,1
1590,xx,lat,1
1600,XA-DE,lat,2
1605,,lat,4
1605,XA-DE,lat,2
1605,gw,lat,1
1607,ZZ,lat,1
1608,,,1
1611,XA-DE,lat,10
1611,XA-FR,fre,8
1611,,,4
1611,,lat,4
1611,fr,fra,1
1611,oo,lat,1
1612,XA-FR,fre,4
1612,fr,fre,1
1614,XA-FR,fre,8
1614,XA-DE,lat,5
1614,ZZ,lat,3
1614,,lat,3
1614,XA-DE,ger,1
1614,,,1
1615,,lat,2
1615,XA-DE,lat,1
1616,XA-FR,fre,2
1616,gw,lat,1
1616,xx,fre,1
1617,XA-DE,lat,5
1617,XA-DE,gre,2
1617,XA-FR,fre,2
1617,gw,lat,1
1618,ZZ,lat,2
1618,,,1
1620,XA-DE,lat,1
1622,XA-FR,fre,2
1622,,lat,2
1622,XA-DE,lat,2
1623,XA-FR,lat,5
1623,,lat,1
1623,xx,lat,1
1623,,,1
1624,,lat,1
1627,XA-IT,ita,4
1627,,ita,2
1628,,lat,4
1628,XA-CH,lat,3
1628,,,1
1628,ZZ,lat,1
1628,sz,lat,1
1629,sw,lat,2
1633,ZZ,,2
1634,,lat,1
1638,XA-IT,lat,23
1638,XA-IT,grc,11
1638,XA-IT,gre,4
1638,,lat,2
1638,,gre,2
1638,ZZ,,2
1638,ZZ,lat,1
1638,ZZ,grc,1
1638,,,1
1639,XA-NL,lat,15
1639,XA-NL,grc,5
1639,XA-DE,grc,2
1639,,,2
1639,nl,lat,2
1639,XA-DE,lat,2
1639,nl,grk,2
1639,ZZ,lat,1
1639,ZZ,grc,1
1640,XA-NL,dut,4
1640,nl,ned,4
1641,XA-FR,lat,8
1641,,lat,4
1641,XA-DE,lat,2
1641,XA-FR,grc,2
1641,XA-FR,ger,2
1641,PT,por,1
1641,,,1
1642,XA-GB,eng,4
1643,XA-DE,lat,18
1643,,lat,15
1643,,,6
1643,XG-DR,lat,4
1643,ZZ,lat,3
1643,gw,lat,2
1643,xx,lat,1
1646,pl,lat,1
1648,XA-DE,lat,1
1649,XA-NL,lat,4
1649,nl,lat,1
1650,,lat,3
1650,,ger,2
1650,gw,ger,1
1650,xx,lat,1
1651,XA-DE,lat,2
1651,,lat,2
1651,XA-FR,lat,1
1652,XA-BE,lat,2
1653,ZZ,,1
1654,,lat,7
1654,XA-FR,lat,2
1654,gw,lat,1
1654,XA-DE,lat,1
1654,XA-DE,ger,1
1655,,lat,2
1658,,,2
1659,XA-GB,eng,7
1659,ZZ,ng,4
1659,,,4
1659,enk,eng,4
1659,,lat,2
1659,XA-FR,lat,2
1659,gb,eng,1
1660,XA-DE,lat,1
1664,,lat,3
1665,,lat,2
1666,XA-IT,ita,2
1666,,,2
1670,XA-GB,grc,2
1670,XA-GB,lat,2
1670,XA-GB,,2
1670,ZZ,grc,1
1670,ZZ,lat,1
1670,,,1
1671,XA-GB,lat,6
1671,XA-DK,lat,2
1671,ZZ,lat,2
1671,XA-GB,grc,2
1671,ZZ,grc,1
1673,enk,eng,1
1675,,lat,4
1675,XA-DE,lat,3
1675,XA-DE,ger,2
1675,XA-DE,grc,1
1675,,,1
1677,XA-IT,ita,4
1677,,,1
1679,XA-GB,eng,4
1679,enk,eng,2
1679,,,2
1684,,lat,2
1684,XA-DE,ger,2
1684,XA-DE,lat,2
1684,,,2
1688,ZZ,grc,2
1688,ZZ,lat,2
1688,sw,lat,2
1688,XA-GB,eng,1
1688,enk,eng,1
1688,XA-SE,lat,1
1700,XA-IT,ita,1
1704,XA-GB,lat,4
1704,enk,lat,1
1709,xxk,eng,1
1715,XA-IT,ita,2
1722,,,2
1722,XG-DR,lat,1
1722,XA-DE,lat,1
1724,,,4
1724,XA-DE,lat,1
1727,,,4
1727,nl,lat,3
1727,XA-NL,lat,2
1735,sw,lat,4
1735,XA-SE,lat,2
1735,,,2
1735,XA-IE,eng,2
1735,ie,eng,1
1737,sw,lat,3
1737,,,2
1737,,lat,2
1737,XA-DXDE,ger,2
1737,XA-SE,lat,2
1737,XG-DR,ger,1
1739,XA-CZ,lat,4
1750,XA-NL,lat,6
1750,,lat,2
1750,XA-NL,gre,2
1750,XA-NL,grc,2
1750,ZZ,grc,1
1750,ZZ,lat,1
1750,XA-IT,ita,1
1750,ne,lat,1
1751,XA-PL,ger,12
1751,pl,ger,3
1751,ZZ,ger,2
1751,XA-PL,lat,2
1751,,ger,2
1754,XA-DE,grc,4
1754,XA-DE,lat,4
1754,,lat,2
1754,,,2
1754,ZZ,grc,1
1754,ZZ,lat,1
1756,,,2
1760,XA-IT,ita,2
1760,XA-IT,lat,2
1766,XA-CH,ger,4
1766,XA-IT,lat,2
1767,XA-GB,eng,3
1767,,,1
1769,XA-GB,eng,2
1771,ZZ,ger,1
1771,XA-DE,ger,1
1771,XA-DXDE,ger,1
1773,enk,eng,1
1777,ZZ,ger,2
1780,XA-IT,ita,8
1780,,,3
1780,it,ita,1
1781,XA-IT,ita,2
1781,,,2
1782,,,2
1782,XA-RU,ger,2
1782,XA-DK,ger,2
1782,XA-DXDE,ger,2
1782,,ger,2
1783,XA-NL,lat,2
1783,nl,lat,1
1785,XA-DE,ger,6
1785,,,3
1785,de,dui,2
1785,XG-DR,ger,2
1785,,ger,2
1785,gw,ger,1
1785,ZZ,ger,1
1785,xx,dui,1
1786,nl,ned,10
1786,XA-NL,dut,6
1787,nl,ned,6
1787,XA-CH,ger,4
1787,XA-NL,dut,3
1787,enk,fre,1
1787,XA-IT,ita,1
1787,XA-NL,lat,1
1788,XA-IT,ita,1
1789,fr,fre,2
1789,XA-BE,fre,1
1790,XA-BE,,9
1790,,ger,4
1790,ZZ,fre,3
1790,XA-DXDE,ger,2
1790,ZZ,,2
1790,ZZ,ger,2
1790,be,fra,2
1790,,fre,2
1790,,,2
1790,fr,...,1
1790,ZZ,ita,1
1790,enk,eng,1
1790,fr,fre,1
1790,xx,fre,1
1791,XA-IT,ita,6
1791,XA-BE,,4
1791,XA-GB,eng,4
1791,,fre,2
1791,enk,eng,2
1791,gb,eng,1
