year_of_publication,country_of_publication,primary_language_code,count
1480,gw,ger,1
1525,XA-IT,lat,1
1567,XA-DE,lat,2
1590,gw,ger,1
1591,gw,lat,1
1610,XA-DE,lat,1
1610,,ger,1
1612,,lat,1
1614,ZZ,lat,2
1614,,lat,2
1618,,lat,1
1619,XA-FR,lat,2
1621,,,2
1621,,lat,1
1623,,lat,1
1625,,lat,2
1629,gw,lat,1
1630,gw,lat,1
1634,XA-DE,lat,4
1634,XA-DE,,2
1634,gw,lat,1
1634,,lat,1
1635,XA-CH,lat,4
1635,,lat,2
1636,XA-DE,lat,3
1636,,lat,3
1643,XA-PL,lat,2
1643,XA-PL,ger,1
1646,,,1
1646,XA-RU,lat,1
1647,XA-FR,fre,7
1647,fr,fre,1
1647,,fre,1
1653,er,lat,3
1653,XA-EE,lat,1
1654,,,2
1654,,lat,1
1655,XA-NL,lat,3
1655,XA-DE,lat,2
1655,gw,lat,1
1655,,lat,1
1659,XA-DE,lat,3
1659,ZZ,lat,1
1659,,lat,1
1660,,,2
1660,XA-NL,lat,1
1661,,lat,2
1661,,,2
1661,XA-PL,lat,1
1662,,lat,3
1662,XA-DE,lat,2
1662,,,1
1662,XG-DR,lat,1
1662,XA-PL,lat,1
1664,,lat,1
1665,XA-EE,lat,4
1665,,lat,2
1665,er,lat,1
1666,XA-DE,lat,6
1666,,lat,3
1666,XA-DE,mul,2
1666,gw,lat,1
1666,,,1
1667,XA-DE,lat,1
1668,XA-DE,lat,2
1668,fr,fre,1
1669,XA-DE,lat,12
1669,,lat,4
1669,,,3
1669,XA-DE,ger,2
1669,gw,lat,1
1669,de,lat,1
1669,XG-DR,lat,1
1670,XA-DE,lat,3
1671,XA-FR,fre,5
1671,ZZ,fre,1
1672,fi,lat,2
1672,XA-NL,fre,1
1672,XA-FI,lat,1
1674,,lat,4
1674,sw,ger,1
1675,XA-DE,lat,7
1675,,,5
1675,,lat,4
1675,XA-FR,fre,3
1675,fr,fre,2
1676,,lat,1
1678,XA-FR,fre,2
1678,,,1
1679,,lat,1
1680,XA-DE,lat,2
1680,de,lat,1
1681,,lat,5
1681,ZZ,lat,3
1681,,,1
1681,XA-DE,lat,1
1682,,ger,2
1683,ZZ,lat,2
1683,stk,lat,1
1684,XA-DE,lat,12
1684,,lat,3
1684,,,2
1684,XA-FR,fre,1
1684,XG-DR,lat,1
1685,XA-NL,fre,2
1685,XA-DE,lat,2
1686,,lat,1
1688,,lat,3
1688,ne,fre,1
1689,,lat,2
1689,XA-DE,lat,1
1690,,lat,3
1690,XA-GB,eng,2
1691,,lat,5
1691,XA-FR,fre,2
1691,XA-DE,lat,1
1691,gw,lat,1
1692,XA-DE,lat,3
1692,,,3
1692,ZZ,ger,1
1692,XA-FR,lat,1
