Source,Target,year_of_publication,Weight
"Topelius, Zacharias,","Schildt,",1921,24
"Schildt, Runar,","Schildt,",1926,18
"Boman, Matti,","Markkina-Poika,",1929,17
"Boman, Matti,","Otto Andersinin Kirjapaino,",1929,13
"Runeberg, Johan Ludvig,","Schildt,",1921,12
"Topelius, Zacharias,","Schildt,",1920,12
"Boman, Matti.","Markkina Matti,",1928,12
"Shakespeare, William,","Suomalaisen Kirjallisuuden Seura,",1923,12
"Wuori, Martti,","Karisto,",1925,11
"Tavaststjerna, K. A.,","Schildt,",1924,11
"Aho, Juhani,","WSOY,",1921,11
"Ponson du Terrail, Pierre Alexis de.","Karisto,",1925,10
"London, Jack,","Tryckeri A.-B. Sätherlund & Krook,",1923,10
"London, Jack,","Söderström & C:o förlagsaktiebolag,",1923,10
"Topelius, Zacharias,","WSOY,",1929,10
"Cajander, A. K.,","Finska forstsamfundet,",1923,10
"Halme, Kaarle,","Karisto,",1920,10
"Sahlstén, Anna,","Karisto,",1926,10
"Ahrenberg, Jac.,","Söderström,",1922,9
"Gripenberg, Bertel,","Schildt,",1921,9
"Hägglund, Erik.","[Åbo Akademi],",1925,9
"Boman, Matti.","Toimittaja,",1926,9
"Kivi, Aleksis,","Suomalaisen Kirjallisuuden Seura,",1922,9
"Talvio, Maila,","WSOY,",1921,9
"Burroughs, Edgar Rice,","Karisto,",1924,9
"Topelius, Zacharias,","Schildt,",1922,8
"Wallenberg, Ernst.","WSOY,",1926,8
"Waltari, Toivo,","Suomen merimieslähetysseura,",1921,8
"Sue, Eugène,","Karisto,",1923,8
"Boman, Matti.","Toimittaja,",1924,8
"Burroughs, Edgar Rice,","Karisto,",1923,8
"Cajander, A. K.,","Finska forstsamfundet,",1921,8
"Sillanpää, F. E.,","WSOY,",1924,7
"Ilvessalo, Yrjö,","Suomen metsätieteellinen seura,",1920,7
"Topelius, Zacharias,","Bonnier,",1926,7
"Walakorpi, U. W.,","Karisto,",1920,7
"Merikoski, K.,","Valistus,",1927,7
"Ervast, Pekka,","Tietäjä,",1924,7
"Procopé, Hjalmar,","Schildt,",1920,7
