Source,Target,year_of_publication,Weight
"Peraudi, Raimundus, commissary",DE,1489,48
"Peraudi, Raimundus, commissary",DE,1488,39
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",DE,1480,34
"Preining, Jörg",6557107,1485,32
"Preining, Jörg",10.89,1485,32
"Preining, Jörg",about 1485],1485,32
"Preining, Jörg",48.37,1485,32
"Preining, Jörg",DE,1485,32
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",DE,1488,29
"Peraudi, Raimundus, commissary",about 1489],1489,28
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",DE,1482,26
"Peraudi, Raimundus, commissary",1488],1488,22
"Peraudi, Raimundus, commissary",8.27,1488,21
"Peraudi, Raimundus, commissary",Peter Schoeffer,1488,21
"Peraudi, Raimundus, commissary",[Mainz,1488,21
"Peraudi, Raimundus, commissary",2874225,1488,21
"Peraudi, Raimundus, commissary",49.99,1488,21
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",about 1482],1482,20
"Werdenberg, Rudolfus, Graf von, commissary",DE,1481,20
"Preining, Jörg",Augsburg,1485,18
"Preining, Jörg",[Johann Blaubirer,1485,18
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",after 11 Dec. 1488],1488,17
"Johannes de Cardona, commissary",1481],1481,17
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",[Nuremberg,1482,16
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",11.0775,1482,16
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",49.4541666666667,1482,16
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",DE,1481,16
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",2861650,1482,16
"Werdenberg, Rudolfus, Graf von, commissary",[Augsburg,1481,16
"Werdenberg, Rudolfus, Graf von, commissary",48.37,1481,15
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",IT,1487,15
"Werdenberg, Rudolfus, Graf von, commissary",10.89,1481,15
"Werdenberg, Rudolfus, Graf von, commissary",6557107,1481,15
"Cicero, Marcus Tullius",IT,1480,15
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",3169071,1487,14
"Preining, Jörg",Johann Blaubirer,1485,14
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",[Rome,1487,14
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",12.49,1487,14
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",41.89,1487,14
"Preining, Jörg",[Augsburg,1485,14
"Johannes de Cardona, commissary",DE,1481,13
"Tartagnus, Alexander",IT,1488,12
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",[Rome,1485,12
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",3169071,1485,12
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",DE,1487,12
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",41.89,1485,12
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",12.49,1485,12
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",IT,1485,12
"Tartagnus, Alexander",12.34,1488,11
"Tartagnus, Alexander",3164603,1488,11
"Tartagnus, Alexander",45.43,1488,11
"Peraudi, Raimundus, commissary",2874225,1489,10
"Peraudi, Raimundus, commissary",49.99,1489,10
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",Peter Schoeffer,1488,10
"Tartagnus, Alexander",Venice,1488,10
"Peraudi, Raimundus, commissary",[Mainz,1489,10
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",2874225,1488,10
"Peraudi, Raimundus, commissary",Peter Schoeffer,1489,10
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",8.27,1488,10
"Johannes de Cardona, commissary",1480],1480,10
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",49.99,1488,10
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",[Mainz,1488,10
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",Printer of the 'Rochus Legende',1482,10
"Peraudi, Raimundus, commissary",8.27,1489,10
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",after 4 Dec. 1480],1480,10
"Werdenberg, Rudolfus, Graf von, commissary",Johann Bämler,1481,10
"Perottus, Nicolaus",IT,1480,9
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",IT,1481,9
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",about 1481],1481,9
Bartolus de Saxoferrato,IT,1485,9
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",after 4 May 1480],1480,9
"Tartagnus, Alexander",IT,1489,9
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",1480],1480,9
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",48.37,1480,9
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",ES,1484,9
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",6557107,1480,9
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",[Augsburg,1480,9
Maximilian I,DE,1486,9
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",10.89,1480,9
"Werdenberg, Rudolfus, Graf von, commissary",1481],1481,9
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",7.59,1480,8
"Emericus de Kemel, Commissary",1482],1482,8
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",CH,1480,8
"Peraudi, Raimundus, commissary",[Lübeck,1489,8
"Cicero, Marcus Tullius",12.34,1480,8
"Peraudi, Raimundus, commissary",10.6872222222222,1489,8
"Ovidius Naso, Publius",IT,1480,8
"Cicero, Marcus Tullius",45.43,1480,8
"Peraudi, Raimundus, commissary",49.4541666666667,1489,8
"Peraudi, Raimundus, commissary",[Nuremberg,1489,8
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",7285161,1480,8
"Peraudi, Raimundus, commissary",1487],1487,8
"Cicero, Marcus Tullius",IT,1483,8
Justinianus,IT,1482,8
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",47.56,1480,8
"Peraudi, Raimundus, commissary",11.0775,1489,8
"Peraudi, Raimundus, commissary",53.8688888888889,1489,8
"Peraudi, Raimundus, commissary",2861650,1489,8
"Tartagnus, Alexander",Paganinus de Paganinis,1488,8
"Emericus de Kemel, Commissary",DE,1482,8
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",[Basel,1480,8
"Cicero, Marcus Tullius",IT,1482,8
"Peraudi, Raimundus, commissary",2875601,1489,8
"Johannes de Cardona, commissary",DE,1480,8
"Cicero, Marcus Tullius",3164603,1480,8
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",IT,1480,8
Bartolus de Saxoferrato,IT,1480,7
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",6558157,1481,7
Alexander de Villa Dei,NL,1488,7
"Tartagnus, Alexander",IT,1481,7
"Perottus, Nicolaus",IT,1485,7
Paulus de Castro,IT,1488,7
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",[Reutlingen,1481,7
"Cicero, Marcus Tullius",Venice,1480,7
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",9.21,1481,7
Bartolus de Saxoferrato,IT,1488,7
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",48.49,1481,7
"Cicero, Marcus Tullius",IT,1485,7
"Lucas de Tollentis, Episcopus Sibinicensis",DE,1480,7
"Perottus, Nicolaus",IT,1483,7
"Vergilius Maro, Publius",IT,1482,7
Paulus de Castro,IT,1483,7
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",DE,1486,7
Thomas Aquinas,IT,1488,7
Alexander de Villa Dei,DE,1489,7
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",Eucharius Silber,1487,7
"Kendale, John, Commissary",GB,1480,7
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",49.7938888888889,1481,6
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",41.89,1480,6
"Ovidius Naso, Publius",IT,1482,6
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",[Toledo,1484,6
"Peraudi, Raimundus, commissary",Albrecht Kunne,1489,6
Bartolus de Saxoferrato,Venice,1488,6
Bartolus de Saxoferrato,3164603,1488,6
Alexander de Villa Dei,IT,1481,6
"Augustinus, Aurelius",DE,1482,6
Maximilian I,DE,1488,6
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",[Würzburg,1481,6
"Pereriis, Guillermus de",after 26 Aug. 1484],1484,6
Bartolus de Saxoferrato,45.43,1488,6
Thomas Aquinas,IT,1486,6
Guarinus Veronensis,IT,1480,6
