year_of_publication,country_of_publication,primary_language_code,count
1437,PT,por,1
1440,nl,mnd,5
1445,PT,por,1
1453,FR,por,1
1453,BR,por,1
1453,PT,por,1
1454,XA-FR,lat,1
1454,XA-CH,lat,1
1454,XA-IT,lat,1
1460,nl,mnd,5
1460,nl,lat,1
1467,,lat,1
1468,XA-DE,lat,1
1469,XA-IT,lat,7
1469,ZZ,lat,3
1469,XA-IT,,1
1469,it,lat,1
1470,XA-IT,lat,12
1470,,,1
1470,,lat,1
1470,ZZ,lat,1
1470,XA-IT,ita,1
1471,XA-IT,lat,14
1471,,lat,2
1471,,,2
1471,ZZ,lat,2
1471,xx,lat,1
1471,it,lat,1
1471,XA-IT,grc,1
1472,XA-IT,lat,19
1472,,lat,3
1472,XA-IT,,2
1472,ZZ,lat,2
1472,XA-DE,lat,2
1472,oo,lat,1
1472,it,lat,1
1472,xx,lat,1
1473,XA-IT,lat,11
1473,ZZ,lat,5
1473,XA-FR,lat,3
1473,XA-DE,,2
1473,xx,lat,1
1473,XA-IT,ita,1
1473,XA-DE,lat,1
1473,,lat,1
1473,XG-DR,lat,1
1473,XA-FR,frm,1
1473,it,lat,1
1474,XA-IT,lat,4
1474,,lat,2
1474,ZZ,ita,1
1474,ZZ,fre,1
1474,XA-IT,ita,1
1474,XA-FR,lat,1
1475,XA-IT,lat,18
1475,XA-DE,ger,5
1475,XA-BE,lat,3
1475,ZZ,lat,3
1475,it,lat,3
1475,,lat,2
1475,,,2
1475,it,,1
1475,ZZ,ger,1
1475,gw,ger,1
1475,,ger,1
1475,be,lat,1
1475,xx,lat,1
1475,oo,ger,1
1476,XA-IT,lat,34
1476,XA-IT,ita,20
1476,ZZ,lat,13
1476,XA-FR,lat,6
1476,,lat,4
1476,xx,lat,4
1476,,,4
1476,XA-CH,lat,3
1476,ZZ,ita,2
1476,,ita,2
1476,it,lat,2
1476,xx,ita,1
1476,XA-BE,lat,1
1476,XA-DE,,1
1476,XA-BE,,1
1476,IT,por,1
1477,XA-IT,lat,7
1477,XA-DE,lat,6
1477,XG-DR,lat,2
1477,,,2
1477,XA-BE,lat,2
1477,oo,lat,2
1477,,lat,2
1477,ZZ,lat,1
1478,XA-IT,lat,3
1478,XA-IT,ita,2
1478,XA-FR,lat,2
1478,XG-DR,,1
1478,,ger,1
1478,ZZ,ger,1
1478,ZZ,fre,1
1479,XA-IT,lat,11
1479,ZZ,lat,7
1479,,lat,4
1479,XA-FR,lat,4
1479,it,lat,2
1479,,,2
1479,xx,lat,1
1479,XA-FR,frm,1
1479,IT,por,1
1479,XA-IT,ita,1
1480,XA-IT,lat,12
1480,XA-FR,lat,4
1480,nl,lat,3
1480,ZZ,lat,3
1480,XA-GB,lat,2
1480,XA-NL,lat,2
1480,XA-GB,eng,2
1480,de,,2
1480,,lat,1
1480,it,lat,1
1480,oo,lat,1
1480,ne,lat,1
1480,IT,por,1
1480,,,1
1481,XA-IT,lat,24
1481,,lat,14
1481,XA-IT,ita,13
1481,XA-FR,lat,9
1481,ZZ,lat,8
1481,it,lat,5
1481,ZZ,ita,2
1481,,ita,2
1481,IT,por,1
1481,fr,lat,1
1481,,ger,1
1481,gw,ger,1
1481,ZZ,ger,1
1481,XA-DE,lat,1
1481,,,1
1481,XG-DR,lat,1
1481,XG-DR,ger,1
1482,XA-IT,lat,8
1482,ZZ,lat,5
1482,XA-DE,ger,4
1482,XA-FR,lat,3
1482,ZZ,ger,3
1482,,lat,2
1482,,ger,2
1482,be,fre,1
1482,,,1
1482,XA-IT,,1
1482,XG-DR,lat,1
1482,it,lat,1
1483,XA-IT,lat,22
1483,ZZ,lat,3
1483,XA-DE,lat,3
1483,XA-FR,lat,2
1483,,lat,2
1483,XA-IT,,2
1483,it,lat,1
1483,XA-IT,ita,1
1483,XA-AT,lat,1
1484,XA-IT,lat,10
1484,,,3
1484,XA-FR,lat,2
1484,ZZ,lat,2
1484,XA-NL,lat,2
1484,be,lat,1
1484,,lat,1
1484,XA-BE,lat,1
1484,XA-IT,ita,1
1484,ZZ,,1
1485,XA-IT,lat,9
1485,ZZ,lat,5
1485,,lat,4
1485,XA-NL,lat,3
1485,nl,lat,3
1485,XA-IT,ita,2
1485,fr,lat,1
1485,ZZ,,1
1485,ZZ,at,1
1485,it,lat,1
1485,ZZ,cat,1
1486,XA-IT,lat,13
1486,ZZ,lat,5
1486,,lat,2
1486,XA-DE,lat,2
1486,XA-BE,lat,1
1486,xx,lat,1
1486,XA-FR,lat,1
1486,gw,lat,1
1486,fr,lat,1
1486,,,1
1486,XA-CH,lat,1
1487,XA-IT,lat,14
1487,ZZ,lat,5
1487,XA-BE,lat,2
1487,xx,lat,2
1487,,lat,1
1487,fr,lat,1
1487,it,lat,1
1487,,,1
1488,,lat,5
1488,ZZ,lat,4
1488,XA-FR,lat,3
1488,XA-IT,lat,3
1488,XA-DE,lat,2
1488,XA-FR,frm,2
1488,,,2
1488,XA-NL,lat,1
1488,XG-DR,lat,1
1489,ZZ,lat,10
1489,XA-IT,ita,7
1489,,lat,6
1489,XA-FR,lat,5
1489,XA-DE,lat,4
1489,XA-IT,lat,2
1489,FR,por,1
1489,ZZ,ita,1
1489,XG-DR,lat,1
1489,,ita,1
1489,,,1
1489,XA-FR,fre,1
1490,XA-IT,lat,24
1490,ZZ,lat,12
1490,nl,lat,4
1490,XA-CH,lat,4
1490,XA-IT,,4
1490,XA-NL,lat,3
1490,,lat,3
1490,de,,2
1490,XA-DE,lat,2
1490,xx,lat,2
1490,ZZ,ita,1
1490,IT,por,1
1490,it,lat,1
1490,ZZ,ger,1
1490,de,lat,1
1490,nl,,1
1490,fr,lat,1
1491,XA-IT,lat,22
1491,ZZ,lat,6
1491,xx,lat,3
1491,nl,lat,2
1491,,lat,2
1491,,,1
1491,XA-IT,,1
1491,XG-DR,gre,1
1491,XA-BE,lat,1
1491,XA-NL,lat,1
1491,,ger,1
1491,XG-DR,lat,1
1491,XA-BE,,1
1491,XA-DE,ger,1
1491,XA-DE,lat,1
1492,XA-IT,lat,17
1492,ZZ,lat,7
1492,XA-FR,lat,6
1492,fr,lat,3
1492,oo,lat,1
1492,,lat,1
1492,XG-DR,lat,1
1492,XA-IT,ita,1
1492,gw,lat,1
1492,XA-ES,spa,1
1492,,,1
1493,XA-IT,lat,16
1493,XA-DE,lat,15
1493,ZZ,lat,6
1493,,lat,5
1493,ZZ,ita,2
1493,XA-FR,lat,2
1493,sz,lat,1
1493,de,lat,1
1493,XA-IT,ita,1
1493,ZZ,fre,1
1493,xx,lat,1
1493,XA-IT,,1
1493,XA-DE,,1
1493,IT,por,1
1493,gw,lat,1
1493,,,1
1493,it,lat,1
1493,XG-DR,lat,1
1494,XA-IT,lat,25
1494,ZZ,lat,19
1494,XA-CH,lat,14
1494,,lat,9
1494,XA-DE,lat,4
1494,XA-FR,lat,4
1494,,,3
1494,xx,lat,3
1494,XG-DR,lat,2
1494,XA-IT,,1
1494,ZZ,frm,1
1494,ZZ,,1
1494,it,lat,1
1494,fr,lat,1
1494,ch,lat,1
1494,CH,por,1
1494,IT,por,1
1494,enk,roa,1
1495,ZZ,lat,13
1495,XA-IT,lat,11
1495,nl,lat,5
1495,XA-NL,lat,5
1495,,,4
1495,,lat,4
1495,XA-FR,lat,4
1495,XA-DE,lat,3
1495,it,lat,3
1495,fr,lat,2
1495,XA-NL,,2
1495,XG-DR,lat,1
1495,ZZ,,1
1496,XA-IT,lat,25
1496,XA-FR,lat,19
1496,XA-DE,lat,14
1496,ZZ,lat,12
1496,,lat,12
1496,,,4
1496,xx,lat,4
1496,XG-DR,lat,2
1496,XD-UY,lat,2
1496,fr,lat,2
1496,FR,por,1
1496,XA-FR,,1
1496,it,lat,1
1496,XA-IT,,1
1496,XA-ES,lat,1
1497,XA-IT,lat,14
1497,ZZ,lat,6
1497,,,3
1497,XA-IT,,3
1497,XA-FR,lat,3
1497,XA-DE,mul,2
1497,XA-DE,lat,2
1497,IT,por,2
1497,,lat,2
1497,nl,lat,2
1497,xx,lat,2
1497,XA-NL,lat,1
1497,XA-IT,ara,1
1497,fr,lat,1
1497,XA-IT,ita,1
1497,XA-IT,grc,1
1498,XA-IT,lat,16
1498,ZZ,lat,15
1498,XA-DE,lat,5
1498,,lat,4
1498,,,3
1498,it,lat,3
1498,XA-IT,ita,2
1498,XA-BE,,2
1498,xx,lat,1
1498,ZZ,ita,1
1498,XA-FR,lat,1
1498,XA-CH,lat,1
1498,ZZ,grc,1
1498,XA-IT,grc,1
1499,XA-IT,lat,24
1499,ZZ,lat,17
1499,XA-DE,lat,15
1499,,lat,12
1499,,,7
1499,XA-DE,ger,5
1499,XG-DR,lat,5
1499,gw,lat,3
