year_of_publication,count
1437,1
1440,5
1445,1
1453,1
1454,3
1460,6
1467,1
1468,1
1469,12
1470,15
1471,22
1472,31
1473,27
1474,9
1475,43
1476,98
1477,22
1478,11
1479,33
1480,34
1481,85
1482,32
1483,36
1484,24
1485,29
1486,29
1487,27
1488,23
1489,39
1490,67
1491,44
1492,40
1493,57
1494,92
1495,58
1496,99
1497,43
1498,52
1499,103
1500,103
1501,133
1502,101
1503,96
1504,84
1505,84
1506,59
1507,128
1508,190
1509,36
1510,134
1511,67
1512,97
1513,101
1514,194
1515,135
1516,144
1517,113
1518,131
1519,73
1520,110
1521,76
1522,110
1523,58
1524,125
1525,107
1526,121
1527,59
1528,149
1529,140
1530,209
1531,258
1532,180
1533,154
1534,164
1535,251
1536,284
1537,183
1538,215
1539,145
1540,255
1541,272
1542,349
1543,259
1544,258
1545,193
1546,237
1547,194
1548,238
1549,347
1550,425
1551,392
1552,322
1553,241
1554,299
1555,480
1556,318
1557,363
1558,375
1559,335
1560,436
1561,306
1562,411
1563,305
1564,409
1565,411
1566,357
1567,359
1568,356
1569,201
1570,407
1571,396
1572,328
1573,290
1574,331
1575,385
1576,382
1577,259
1578,295
1579,236
1580,518
1581,501
1582,394
1583,324
1584,430
1585,496
1586,352
1587,470
1588,480
1589,433
1590,310
1591,377
1592,302
1593,397
1594,400
1595,367
1596,784
1597,613
1598,364
1599,425
1600,525
1601,489
1602,393
1603,513
1604,485
1605,622
1606,427
1607,502
1608,563
1609,593
1610,600
1611,554
1612,617
1613,488
1614,772
1615,599
1616,573
1617,633
1618,790
1619,716
1620,731
1621,537
1622,579
1623,642
1624,562
1625,617
1626,498
1627,420
1628,575
1629,599
1630,475
1631,656
1632,519
1633,371
1634,421
1635,603
1636,514
1637,447
1638,381
1639,411
1640,508
1641,402
1642,496
1643,534
1644,576
1645,486
1646,413
1647,461
1648,642
1649,659
1650,732
1651,856
1652,709
1653,834
1654,534
1655,711
1656,590
1657,865
1658,952
1659,752
1660,694
1661,922
1662,971
1663,753
1664,1006
1665,1242
1666,658
1667,977
1668,827
1669,856
1670,755
1671,890
1672,1015
1673,678
1674,859
1675,841
1676,893
1677,784
1678,871
1679,962
1680,1124
1681,1097
1682,859
1683,826
1684,1157
1685,1158
1686,1122
1687,725
1688,1191
1689,725
1690,734
1691,658
1692,647
1693,745
1694,937
1695,913
1696,1049
1697,1112
1698,829
1699,857
1700,1252
1701,815
1702,945
1703,782
1704,771
1705,891
1706,983
1707,795
1708,993
1709,799
1710,658
1711,768
1712,942
1713,831
1714,1005
1715,1027
1716,876
1717,1201
1718,936
1719,1104
1720,1056
1721,1119
1722,1150
1723,1070
1724,905
1725,996
1726,1076
1727,1024
1728,946
1729,921
1730,943
1731,1004
1732,939
1733,1032
1734,1118
1735,1338
1736,1152
1737,1394
1738,1089
1739,1013
1740,1291
1741,1149
1742,1129
1743,935
1744,1314
1745,969
1746,1035
1747,1265
1748,1505
1749,1351
1750,2025
1751,1386
1752,1413
1753,1717
1754,1781
1755,1669
1756,2054
1757,1540
1758,1761
1759,1327
1760,1433
1761,1176
1762,1253
1763,1472
1764,1468
1765,1396
1766,1628
1767,1688
1768,1817
1769,1747
1770,2072
1771,1981
1772,1817
1773,1686
1774,2100
1775,2279
1776,2370
1777,1865
1778,2154
1779,2007
1780,1908
1781,1981
1782,2166
1783,2323
1784,2022
1785,2402
1786,2070
1787,2341
1788,2187
1789,2358
1790,2440
1791,2452
1792,2198
1793,2280
1794,1961
1795,1899
1796,1904
1797,2182
1798,2043
1799,2447
1800,2229
1801,1791
1802,2000
1803,1833
1804,1660
1805,1673
1806,1454
1807,1209
1808,1367
1809,1403
1810,1332
1811,1310
1812,1108
1813,1076
1814,805
1815,1201
1816,1400
1817,1367
1818,1513
1819,1550
1820,1868
1821,1930
1822,1737
1823,1694
1824,1824
1825,1843
1826,1959
1827,1833
1828,2243
1829,2209
1830,2171
1831,176
1832,217
1833,183
1834,181
1835,176
1836,217
1837,200
1838,195
1839,159
1840,156
1841,167
1842,165
1843,187
1844,135
1845,183
1846,136
1847,136
1848,121
1849,137
1850,190
1851,185
1852,132
1853,387
1854,252
1855,175
1856,134
1857,171
1858,151
1859,132
1860,196
1861,151
1862,137
1863,191
1864,151
1865,172
1866,163
1867,155
1868,176
1869,155
1870,151
1871,123
1872,170
1873,151
1874,145
1875,155
1876,149
1877,147
1878,154
1879,186
1880,174
1881,135
1882,168
1883,129
1884,139
1885,129
1886,131
1887,141
1888,148
1889,169
1890,142
1891,159
1892,150
1893,152
1894,150
1895,175
1896,159
1897,189
1898,160
1899,126
1900,240
1901,151
1902,154
1903,197
1904,235
1905,218
1906,186
1907,266
1908,270
1909,248
1910,263
1911,236
1912,280
1913,551
1914,407
1915,259
1916,238
1917,206
1918,206
1919,289
1920,374
1921,375
1922,419
1923,380
1924,408
1925,459
1926,495
1927,450
1928,516
1929,428
1930,575
1931,416
1932,386
1933,477
1934,475
1935,565
1936,525
1937,446
1938,450
1939,384
1940,313
1941,267
1942,269
1943,251
1944,225
1945,322
1946,276
1947,375
1948,375
1949,499
1950,564
1951,473
1952,543
1953,466
1954,480
1955,568
1956,504
1957,469
1958,633
1959,600
1960,670
1961,788
1962,655
1963,720
1964,767
1965,905
1966,869
1967,961
1968,963
1969,951
1970,1214
1971,1025
1972,1091
1973,1109
1974,1100
1975,1079
1976,1185
1977,1221
1978,1297
1979,1388
1980,1512
1981,1652
1982,1890
1983,1846
1984,2011
1985,2175
1986,2276
1987,2404
1988,2499
1989,2477
1990,2781
1991,2656
1992,2947
1993,2974
1994,3027
1995,3432
1996,3616
1997,3440
1998,3600
1999,3947
2000,4248
2001,4170
2002,4327
2003,4711
2004,5567
2005,5643
2006,7621
2007,5501
2008,5433
2009,6822
2010,5642
2011,6160
2012,6084
2013,6573
2014,7172
2015,7024
2016,9088
